timestamp,frame_number,subject_name,x,y,z,qw,qx,qy,qz
1773612121.15384,32490236,UMI_left_gripper,-585.4764147390628,465.6827630765097,846.6549142622835,0.582010331409732,-0.48706757442089577,-0.4407197415785075,-0.4793696501271778
1773612121.15384,32490236,UMI-wrist,-620.0468783601578,393.22341416764306,931.9924701957334,-0.22940006511469668,0.1998870092267202,-0.10342542127629056,0.9469551076485051
1773612121.161961,32490237,UMI_left_gripper,-582.0321961716896,466.96197915190913,843.8778026109503,0.5819736359252062,-0.4891697731556308,-0.43939041911529786,-0.47849313444243613
1773612121.161961,32490237,UMI-wrist,-616.691418795255,394.9156789265123,929.5597951454561,-0.23236555677702922,0.19570194695541232,-0.11012855715399959,0.9463501978024523
1773612121.169027,32490238,UMI_left_gripper,-578.6610973366313,468.3552339034516,841.0655666013541,0.5828219140286924,-0.4906490848773928,-0.4382527648497419,-0.4769870083539647
1773612121.169027,32490238,UMI-wrist,-613.2234386127627,396.47520421948707,926.8100204448232,-0.23099693035520483,0.19767966900015466,-0.1117929595997115,0.9460790140439641
1773612121.178057,32490239,UMI_left_gripper,-575.3564034252221,469.92096907137426,837.9489935607115,0.5831241110133293,-0.4921059364744341,-0.4337803298827239,-0.47920000401541113
1773612121.178057,32490239,UMI-wrist,-609.7832010001509,397.941294037627,924.0453893325291,-0.2292688143340476,0.19710194152012017,-0.11370356355711163,0.9463921676859298
1773612121.189843,32490240,UMI_left_gripper,-572.0131527064975,471.3958287393592,835.0514697132525,0.5834547669484793,-0.4935925483574912,-0.4308303236495541,-0.47992933162609874
1773612121.189843,32490240,UMI-wrist,-606.3493733559685,399.4790107941982,921.1873768190691,-0.2279775121206674,0.20046829486653775,-0.1144960355651685,0.9459013556182451
1773612121.1941812,32490241,UMI_left_gripper,-568.7236421847907,472.87963101547115,832.2523160284651,0.5829404328055952,-0.4952546408148708,-0.42822097449613933,-0.48117573666316105
1773612121.1941812,32490241,UMI-wrist,-602.971610112701,400.9151376792674,918.5451415759476,-0.22714416373532903,0.19999650769428193,-0.11776956912538965,0.9457997961403297
1773612121.2064111,32490242,UMI_left_gripper,-565.4540681746913,474.2875942687785,829.1410583445412,0.5842601447399763,-0.4964197612635749,-0.4262116105462185,-0.4801574397330897
1773612121.2064111,32490242,UMI-wrist,-599.5257432864041,402.4614197005341,915.378640474689,-0.22421197954474845,0.20515153645885426,-0.1157276206350413,0.945647372512264
1773612121.210706,32490243,UMI_left_gripper,-562.0896464565607,475.594636738688,826.2393532652098,0.5840682574818907,-0.497677482880713,-0.42536138762494424,-0.47984276961663974
1773612121.210706,32490243,UMI-wrist,-596.1816376846743,403.84111827845385,912.4837551982012,-0.22332733859206055,0.20712645750030229,-0.11792469001805843,0.9451546423336805
1773612121.2189739,32490244,UMI_left_gripper,-558.8096122591354,476.97240543481166,823.2821116329334,0.5840256512293556,-0.4989610229416792,-0.42300733561086507,-0.48064199807186775
1773612121.2189739,32490244,UMI-wrist,-592.7816114181671,405.26454427615,909.6617357746414,-0.22117475238746914,0.2083136775259292,-0.12010459580798256,0.9451254026465303
1773612121.229768,32490245,UMI_left_gripper,-555.454631239604,478.254568669105,820.4116195699298,0.5827886919153743,-0.5007639679731486,-0.4218911544620566,-0.4812490444063525
1773612121.229768,32490245,UMI-wrist,-589.4643546278157,406.6798450101909,906.5941820543957,-0.21930578129181327,0.2111110424635041,-0.11888903923510317,0.9450939098268034
1773612121.236276,32490246,UMI_left_gripper,-552.1530472390025,479.5141404894657,817.1162375741243,0.5823214467501829,-0.5026975411608309,-0.41968278544725696,-0.481729461798695
1773612121.236276,32490246,UMI-wrist,-586.1305214216139,408.07435715132266,903.8580267133487,-0.217946928612611,0.2069503626329491,-0.12085205942943716,0.9460789942949184
1773612121.2439969,32490247,UMI_left_gripper,-548.651315360099,480.53609527480575,814.1683618188557,0.5811580375281324,-0.5049459265447468,-0.41896703192309415,-0.48140582967374873
1773612121.2439969,32490247,UMI-wrist,-582.9326938388974,409.44209291794783,900.9525615135558,-0.21560138932962422,0.2091038435446072,-0.1204709428601048,0.9461915109851735
1773612121.252286,32490248,UMI_left_gripper,-545.4627667902492,481.7940062096141,811.1182291896412,0.5815014721104376,-0.5069485505888915,-0.41569430972949467,-0.48172341218559755
1773612121.252286,32490248,UMI-wrist,-579.6097955939796,410.8724859428973,897.9506845412803,-0.21086994615295432,0.21636173044834947,-0.12139070716501335,0.9455082038886939
1773612121.260604,32490249,UMI_left_gripper,-542.1376973773392,482.89738670384617,807.8462385459475,0.5799616188800503,-0.509393402896083,-0.4141320855868151,-0.4823458275962332
1773612121.260604,32490249,UMI-wrist,-576.4947830931825,412.3215566362409,895.2675124489949,-0.2087167296673462,0.20914099479616421,-0.12271810608381375,0.9474374055798307
1773612121.269079,32490250,UMI_left_gripper,-538.7771141126475,483.8467882170445,804.6519575277492,0.5768572953178059,-0.5119505875305436,-0.41362004449969664,-0.48379821780761656
1773612121.269079,32490250,UMI-wrist,-573.555613886364,413.83264619099623,891.9983877753741,-0.20539640236568488,0.21775969857825608,-0.12047614332392677,0.9465086003096503
